bar,equity
0,10000.0
1,10000.0
2,10000.0
3,10000.0
4,10000.0
5,10000.0
6,10000.0
7,10000.0
8,10000.0
9,10000.0
10,10000.0
11,10000.0
12,10000.0
13,10000.0
14,10000.0
15,10000.0
16,10000.0
17,10000.0
18,10000.0
19,10000.0
20,10000.0
21,10000.0
22,10000.0
23,10000.0
24,10000.0
25,10000.0
26,10000.0
27,10000.0
28,10000.0
29,9995.12
30,9995.12
31,9993.79
32,9993.79
33,9993.79
34,9993.79
35,9995.26
36,9995.26
37,9995.26
38,9993.86
39,9993.86
40,9993.86
41,9993.86
42,9993.97
43,9993.97
44,9993.97
45,9993.97
46,9993.97
47,9989.73
48,9989.73
49,9989.73
50,9989.73
51,9989.73
52,9989.73
53,9985.5
54,9985.11
55,9985.11
56,9985.11
57,9985.11
58,9985.11
59,9985.11
60,9985.11
61,9985.11
62,9985.11
63,9985.11
64,9985.11
65,9985.11
66,9985.11
67,9985.11
68,9985.43
69,9985.43
70,9985.43
71,9985.43
72,9985.43
73,9985.43
74,9985.43
75,9985.43
76,9979.43
77,9977.97
78,9970.17
79,9968.64
80,9968.64
81,9967.12
82,9965.64
83,9965.64
84,9964.17
85,9969.38
86,9966.84
87,9966.84
88,9966.84
89,9966.84
90,9966.84
91,9966.84
92,9966.84
93,9966.84
94,9966.84
95,9966.84
96,9966.84
97,9966.84
98,9959.64
99,9959.64
100,9959.64
101,9959.64
102,9956.65
103,9951.34
104,9948.35
105,9945.42
106,9943.95
107,9941.01
108,9941.01
109,9941.01
110,9941.01
111,9941.01
112,9941.01
113,9950.47
114,9940.62
115,9940.62
116,9940.62
117,9940.62
118,9940.62
119,9940.62
120,9940.62
121,9940.62
122,9940.62
123,9940.62
124,9940.62
125,9940.62
126,9940.62
127,9940.62
128,9940.62
129,9939.36
130,9937.84
131,9936.38
132,9936.38
133,9936.38
134,9936.38
135,9938.62
136,9938.62
137,9938.62
138,9938.62
139,9938.62
140,9938.62
141,9938.62
142,9938.62
143,9938.62
144,9938.62
145,9938.62
146,9938.62
147,9938.62
148,9938.62
149,9938.62
150,9938.62
151,9938.62
152,9938.62
153,9938.62
154,9938.62
155,9938.62
156,9938.62
157,9938.62
158,9938.62
159,9938.62
160,9938.62
161,9938.62
162,9938.62
163,9938.62
164,9937.67
165,9937.67
166,9937.67
167,9937.67
168,9937.67
169,9937.67
170,9937.67
171,9937.67
172,9937.67
173,9940.41
174,9934.54
175,9934.54
176,9934.54
177,9932.78
178,9932.78
179,9932.78
180,9932.78
181,9933.53
182,9933.53
183,9933.53
184,9934.01
185,9934.01
186,9934.01
187,9934.01
188,9934.01
189,9934.01
190,9934.01
191,9934.01
192,9934.01
193,9934.01
194,9934.01
195,9934.01
196,9934.01
197,9934.87
198,9934.87
199,9934.87
200,9932.81
201,9933.43
202,9933.43
203,9933.43
204,9933.43
205,9933.43
206,9927.99
207,9925.35
208,9922.38
209,9919.4
210,9919.4
211,9919.4
212,9919.4
213,9919.4
214,9919.4
215,9919.4
216,9919.4
217,9919.4
218,9919.4
219,9919.4
220,9919.4
221,9919.4
222,9919.4
223,9919.4
224,9919.4
225,9919.4
226,9919.4
227,9919.4
228,9919.4
229,9919.4
230,9932.4
231,9929.42
232,9929.42
233,9929.42
234,9929.42
235,9929.42
236,9926.33
237,9923.35
238,9923.35
239,9920.38
240,9917.4
241,9917.4
242,9917.4
243,9917.4
244,9917.4
245,9914.48
246,9923.12
247,9920.15
248,9917.22
249,9914.3
250,9914.3
251,9914.3
252,9914.3
253,9914.3
254,9914.3
255,9924.79
256,9924.79
257,9924.79
258,9924.79
259,9924.79
260,9924.79
261,9924.79
262,9924.79
263,9924.79
264,9924.79
265,9924.79
266,9924.79
267,9924.79
268,9921.87
269,9917.06
270,9917.06
271,9918.02
272,9915.05
273,9909.06
274,9906.84
275,9898.44
276,9898.44
277,9898.44
278,9908.79
279,9908.79
280,9908.79
281,9908.79
282,9908.79
283,9908.79
284,9908.79
285,9908.79
286,9908.79
287,9908.79
288,9908.79
289,9908.79
290,9908.79
291,9908.79
292,9910.51
293,9910.51
294,9905.39
295,9904.64
296,9903.91
297,9903.91
298,9903.91
299,9903.91
300,9903.91
301,9903.91
302,9903.91
303,9903.91
304,9903.91
305,9903.91
306,9903.91
307,9901.89
308,9901.89
