bar,equity
0,10000.0
1,10000.0
2,10000.0
3,10000.0
4,10000.0
5,10000.0
6,10000.0
7,10000.0
8,10000.0
9,10000.0
10,10000.0
11,10000.0
12,10000.0
13,10000.0
14,10000.0
15,10000.0
16,10000.0
17,10000.0
18,10000.0
19,10000.0
20,10000.0
21,10000.0
22,10000.0
23,10000.0
24,10000.0
25,10000.0
26,10000.0
27,10000.0
28,10000.0
29,9996.34
30,9996.34
31,9996.34
32,9996.34
33,9996.34
34,9996.34
35,9996.34
36,9996.34
37,9996.34
38,9994.95
39,9994.95
40,9994.95
41,9994.95
42,9996.59
43,9996.59
44,9996.59
45,9996.59
46,9996.59
47,9992.35
48,9992.35
49,9992.35
50,9992.35
51,9992.35
52,9992.35
53,9988.11
54,9988.42
55,9988.42
56,9988.42
57,9988.42
58,9988.42
59,9988.42
60,9988.42
61,9988.42
62,9988.42
63,9988.42
64,9988.42
65,9988.42
66,9988.42
67,9988.42
68,9988.74
69,9988.74
70,9988.74
71,9988.74
72,9988.74
73,9988.74
74,9988.74
75,9988.74
76,9982.74
77,9982.74
78,9976.44
79,9976.44
80,9976.44
81,9976.44
82,9976.44
83,9976.44
84,9976.44
85,9981.65
86,9981.65
87,9981.65
88,9981.65
89,9981.65
90,9981.65
91,9981.65
92,9981.65
93,9981.65
94,9981.65
95,9981.65
96,9981.65
97,9981.65
98,9974.45
99,9974.45
100,9974.45
101,9974.45
102,9974.45
103,9969.13
104,9969.13
105,9969.13
106,9969.13
107,9969.13
108,9969.13
109,9969.13
110,9969.13
111,9969.13
112,9969.13
113,9969.13
114,9959.27
115,9959.27
116,9959.27
117,9959.27
118,9959.27
119,9959.27
120,9959.27
121,9959.27
122,9959.27
123,9959.27
124,9959.27
125,9959.27
126,9959.27
127,9959.27
128,9959.27
129,9959.27
130,9959.27
131,9959.27
132,9959.27
133,9959.27
134,9959.27
135,9959.27
136,9959.27
137,9959.27
138,9959.27
139,9959.27
140,9959.27
141,9959.27
142,9959.27
143,9959.27
144,9959.27
145,9959.27
146,9959.27
147,9959.27
148,9959.27
149,9959.27
150,9959.27
151,9959.27
152,9959.27
153,9959.27
154,9959.27
155,9959.27
156,9959.27
157,9959.27
158,9959.27
159,9959.27
160,9959.27
161,9959.27
162,9959.27
163,9959.27
164,9958.32
165,9958.32
166,9958.32
167,9958.32
168,9958.32
169,9958.32
170,9958.32
171,9958.32
172,9958.32
173,9958.32
174,9952.31
175,9952.31
176,9952.31
177,9950.56
178,9950.56
179,9950.56
180,9950.56
181,9951.3
182,9951.3
183,9951.3
184,9948.41
185,9948.41
186,9948.41
187,9948.41
188,9948.41
189,9948.41
190,9948.41
191,9948.41
192,9948.41
193,9948.41
194,9948.41
195,9948.41
196,9948.41
197,9949.26
198,9949.26
199,9949.26
200,9949.26
201,9949.88
202,9949.88
203,9949.88
204,9949.88
205,9949.88
206,9940.46
207,9940.46
208,9940.46
209,9940.46
210,9940.46
211,9940.46
212,9940.46
213,9940.46
214,9940.46
215,9940.46
216,9940.46
217,9940.46
218,9940.46
219,9940.46
220,9940.46
221,9940.46
222,9940.46
223,9940.46
224,9940.46
225,9940.46
226,9940.46
227,9940.46
228,9940.46
229,9940.46
230,9956.41
231,9956.41
232,9956.41
233,9956.41
234,9956.41
235,9956.41
236,9953.3
237,9953.3
238,9953.3
239,9953.3
240,9953.3
241,9953.3
242,9953.3
243,9953.3
244,9953.3
245,9953.3
246,9964.96
247,9964.96
248,9964.96
249,9964.96
250,9964.96
251,9964.96
252,9964.96
253,9964.96
254,9964.96
255,9975.5
256,9975.5
257,9975.5
258,9975.5
259,9975.5
260,9975.5
261,9975.5
262,9975.5
263,9975.5
264,9975.5
265,9975.5
266,9975.5
267,9975.5
268,9975.5
269,9970.66
270,9970.66
271,9971.63
272,9971.63
273,9966.38
274,9964.88
275,9956.43
276,9956.43
277,9956.43
278,9956.43
279,9956.43
280,9956.43
281,9956.43
282,9956.43
283,9956.43
284,9956.43
285,9956.43
286,9956.43
287,9956.43
288,9956.43
289,9956.43
290,9956.43
291,9956.43
292,9958.16
293,9958.16
294,9953.02
295,9953.02
296,9953.02
297,9953.02
298,9953.02
299,9953.02
300,9953.02
301,9953.02
302,9953.02
303,9953.02
304,9953.02
305,9953.02
306,9953.02
307,9950.99
308,9950.99
