bar,equity
0,10000.0
1,10000.0
2,10000.0
3,10000.0
4,10000.0
5,10000.0
6,10000.0
7,10000.0
8,10000.0
9,10000.0
10,10000.0
11,10000.0
12,10000.0
13,10000.0
14,10000.0
15,10000.0
16,10000.0
17,10000.0
18,10000.0
19,10000.0
20,10000.0
21,10000.0
22,10000.0
23,9998.35
24,9998.35
25,9998.35
26,9998.35
27,9998.35
28,9998.35
29,9998.35
30,9998.35
31,9998.35
32,9998.35
33,9998.35
34,9998.35
35,9998.35
36,9998.35
37,9998.35
38,9997.06
39,9995.64
40,9995.64
41,9997.27
42,9997.27
43,9997.27
44,9997.27
45,9997.27
46,9997.27
47,9993.6
48,9993.6
49,9993.6
50,9993.6
51,9993.6
52,9993.6
53,9992.27
54,9992.27
55,9992.27
56,9992.27
57,9992.27
58,9992.27
59,9992.27
60,9992.27
61,9992.27
62,9992.27
63,9992.27
64,9992.27
65,9992.27
66,9992.27
67,9992.27
68,9994.96
69,9994.96
70,9994.96
71,9994.96
72,9994.96
73,9994.96
74,9994.96
75,9994.96
76,9989.97
77,9989.97
78,9984.22
79,9984.22
80,9984.22
81,9983.2
82,9983.2
83,9983.2
84,9983.2
85,9984.8
86,9984.8
87,9984.8
88,9984.8
89,9984.8
90,9984.8
91,9984.8
92,9984.8
93,9984.8
94,9984.8
95,9984.8
96,9984.8
97,9984.8
98,9983.02
99,9983.02
100,9983.02
101,9983.02
102,9989.82
103,9988.25
104,9988.25
105,9986.48
106,9986.48
107,9986.48
108,9986.48
109,9986.48
110,9986.48
111,9987.21
112,9987.21
113,9987.21
114,9980.53
115,9980.53
116,9980.53
117,9980.53
118,9980.53
119,9980.53
120,9980.53
121,9980.53
122,9980.53
123,9980.53
124,9980.53
125,9980.53
126,9980.53
127,9980.53
128,9980.53
129,9980.53
130,9980.53
131,9980.53
132,9980.53
133,9980.53
134,9980.53
135,9980.53
136,9980.53
137,9980.53
138,9980.53
139,9980.53
140,9980.53
141,9980.53
142,9980.53
143,9980.53
144,9980.53
145,9980.53
146,9980.53
147,9980.53
148,9980.53
149,9980.53
150,9980.53
151,9980.53
152,9980.53
153,9980.53
154,9980.53
155,9980.53
156,9980.53
157,9980.53
158,9980.53
159,9980.53
160,9980.53
161,9980.53
162,9980.53
163,9980.53
164,9979.86
165,9979.86
166,9979.86
167,9979.86
168,9979.86
169,9979.86
170,9979.86
171,9981.57
172,9981.57
173,9981.57
174,9981.57
175,9981.57
176,9981.57
177,9979.8
178,9979.8
179,9979.8
180,9979.8
181,9979.8
182,9979.8
183,9979.8
184,9979.8
185,9979.8
186,9979.8
187,9979.8
188,9979.8
189,9979.8
190,9979.8
191,9979.8
192,9979.8
193,9979.8
194,9979.8
195,9979.8
196,9979.8
197,9981.46
198,9981.46
199,9981.46
200,9981.46
201,9981.46
202,9981.46
203,9981.46
204,9981.46
205,9981.46
206,9976.85
207,9983.56
208,9983.56
209,9983.56
210,9983.56
211,9983.56
212,9983.56
213,9983.56
214,9983.56
215,9983.56
216,9983.56
217,9983.56
218,9983.56
219,9983.56
220,9983.56
221,9983.56
222,9983.56
223,9983.56
224,9983.56
225,9983.56
226,9983.56
227,9983.56
228,9983.56
229,9978.66
230,9983.4
231,9983.4
232,9983.4
233,9983.4
234,9983.4
235,9983.4
236,9983.4
237,9993.17
238,9993.17
239,9989.31
240,9989.31
241,9989.31
242,9989.31
243,9989.31
244,9989.31
245,9993.45
246,9993.45
247,9993.45
248,9993.45
249,9993.45
250,9993.45
251,9993.45
252,9993.45
253,9999.32
254,9999.32
255,9999.32
256,9999.32
257,9999.32
258,9999.32
259,9999.32
260,9999.32
261,9999.32
262,9999.32
263,9999.32
264,9999.32
265,9999.32
266,9999.32
267,9998.12
268,9998.12
269,9997.91
270,9997.91
271,9999.57
272,9999.57
273,9995.23
274,9994.0
275,9987.03
276,9987.03
277,9987.03
278,9987.03
279,9987.03
280,9987.03
281,9987.03
282,9987.03
283,9987.03
284,9987.03
285,9987.03
286,9987.03
287,9987.03
288,9987.03
289,9987.03
290,9987.03
291,9987.03
292,9988.76
293,9988.76
294,9985.1
295,9985.1
296,9985.1
297,9985.1
298,9985.1
299,9985.1
300,9985.1
301,9985.1
302,9985.1
303,9985.1
304,9985.1
305,9985.1
306,9985.1
307,9983.43
308,9983.43
