trade_id,strategy,direction,regime,entry_bar,exit_bar,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,confidence,position_size,gross_pnl,slippage_cost,commission_cost,net_pnl,net_pnl_pct,duration_bars,exit_reason
0,MomentumStrategy,SHORT,BEAR_TRENDING,317,322,2026-01-11 03:00:00,2026-01-11 08:00:00,3085.74117,3105.3445325484504,3102.2422902581925,3058.2393029030127,0.7499992842829915,224.99978528489746,-1.429398034788312,0.44999957056979495,0.22499978528489747,-1.6543978200732095,-0.0073528862171063445,5,stop_loss
1,MomentumStrategy,LONG,BEAR_TRENDING,332,334,2026-01-11 18:00:00,2026-01-11 20:00:00,3125.6124899999995,3101.3541508455005,3104.4586094549554,3160.8689575750727,0.451469601387198,135.41847310642845,-1.0510027263168977,0.2708369462128569,0.13541847310642846,-1.1864211994233262,-0.008761147369390961,2,stop_loss
2,MomentumStrategy,LONG,BEAR_TRENDING,335,337,2026-01-11 21:00:00,2026-01-11 23:00:00,3113.86075,3087.8600546621374,3090.951005667805,3152.043657220324,0.45729478834745774,137.1494637522697,-1.1451961757679674,0.2742989275045394,0.1371494637522697,-1.282345639520237,-0.009349986536123189,2,stop_loss
3,MomentumStrategy,LONG,BEAR_TRENDING,338,338,2026-01-12 00:00:00,2026-01-12 00:00:00,3121.93882,3092.7037083602263,3095.799507868094,3165.504340219842,0.45767730853268673,137.24658019269276,-1.2852330956666558,0.2744931603853855,0.13724658019269276,-1.4224796758593485,-0.010364408889913336,0,stop_loss
4,MomentumStrategy,LONG,BEAR_TRENDING,339,341,2026-01-12 01:00:00,2026-01-12 03:00:00,3117.9047899999996,3161.3844083896865,3089.9182895917793,3164.5489573470336,0.4542292727817382,136.19321201472135,1.8992333905314065,0.2723864240294427,0.13619321201472134,1.7630401785166852,0.012945139867368097,2,take_profit
5,SentimentPulseStrategy,LONG,BEAR_TRENDING,341,346,2026-01-12 03:00:00,2026-01-12 08:00:00,3156.9638099999997,3115.9611640357193,3119.0802442799995,3245.3587966799996,0.46677729081602504,139.95552981965363,-1.81774242129768,0.2799110596393073,0.13995552981965365,-1.9576979511173338,-0.013988000000000134,5,stop_loss
6,MomentumStrategy,LONG,BEAR_TRENDING,346,346,2026-01-12 08:00:00,2026-01-12 08:00:00,3134.28115,3098.9069909758937,3102.0089999758698,3188.0680667068827,0.4630051514691945,138.84900448444748,-1.567079189743929,0.27769800896889496,0.13884900448444748,-1.7059281942283764,-0.012286211201603956,0,stop_loss
7,MomentumStrategy,LONG,HIGH_VOL_CHOPPY,347,352,2026-01-12 09:00:00,2026-01-12 14:00:00,3115.1019899999997,3076.1947215534483,3079.2739955489974,3174.8153140850022,0.6591520607970826,98.79918614883431,-1.2339905627916525,0.19759837229766863,0.09879918614883432,-1.332789748940487,-0.0134898859078933,5,stop_loss
10,MeanReversionStrategy,LONG,MEAN_REVERTING,360,367,2026-01-12 22:00:00,2026-01-13 05:00:00,3092.61953,3121.3453786514997,3063.7262357577,3124.4698485,0.6482427051606707,323.83680579502095,3.0079636310946043,0.6476736115900419,0.32383680579502094,2.6841268252995834,0.008288516861787958,7,take_profit
8,SentimentPulseStrategy,SHORT,HIGH_VOL_CHOPPY,347,375,2026-01-12 09:00:00,2026-01-13 13:00:00,3108.87801,3149.330730666119,3146.1845461199996,3021.8294257199996,0.8153793145921266,122.21582465642354,-1.5902723104293497,0.24443164931284708,0.12221582465642354,-1.7124881350857732,-0.014011999999999728,28,stop_loss
11,MeanReversionStrategy,SHORT,MEAN_REVERTING,368,375,2026-01-13 06:00:00,2026-01-13 13:00:00,3125.29158,3153.118271148471,3149.968302845626,3104.4349575,0.6611381568627083,330.3676001076901,-2.941497437387365,0.6607352002153802,0.3303676001076901,-3.271865037495055,-0.009903710401469524,7,stop_loss
9,MomentumStrategy,SHORT,MEAN_REVERTING,354,377,2026-01-12 16:00:00,2026-01-13 15:00:00,3124.3824900000004,3166.207952152754,3163.044907245509,3059.9451279241525,0.7994126025591366,399.3553983162381,-5.346088115406644,0.7987107966324762,0.3993553983162381,-5.745443513722883,-0.014386793162047683,23,stop_loss
