trade_id,strategy,direction,regime,entry_bar,exit_bar,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,confidence,position_size,gross_pnl,slippage_cost,commission_cost,net_pnl,net_pnl_pct,duration_bars,exit_reason
0,MomentumStrategy,SHORT,BEAR_TRENDING,317,322,2026-01-11 03:00:00,2026-01-11 08:00:00,3085.74117,3105.3445325484504,3102.2422902581925,3060.072760709478,0.7499992842829915,224.99978528489746,-1.429398034788312,0.44999957056979495,0.22499978528489747,-1.6543978200732095,-0.0073528862171063445,5,stop_loss
1,MomentumStrategy,LONG,BEAR_TRENDING,335,337,2026-01-11 21:00:00,2026-01-11 23:00:00,3113.86075,3087.8600546621374,3090.951005667805,3149.498130072302,0.45729478834745774,137.16574007920812,-1.1453320828787608,0.27433148015841624,0.13716574007920812,-1.2824978229579689,-0.00934998653612319,2,stop_loss
2,MomentumStrategy,LONG,BEAR_TRENDING,338,338,2026-01-12 00:00:00,2026-01-12 00:00:00,3121.93882,3092.7037083602263,3095.799507868094,3162.599972205186,0.45767730853268673,137.2628680450057,-1.2853856217756525,0.2745257360900114,0.1372628680450057,-1.4226484898206582,-0.010364408889913336,0,stop_loss
3,MomentumStrategy,LONG,BEAR_TRENDING,339,340,2026-01-12 01:00:00,2026-01-12 02:00:00,3117.9047899999996,3158.2779068443747,3089.9182895917793,3161.439346190565,0.4542292727817382,136.2093748576877,1.7637475730709251,0.2724187497153754,0.1362093748576877,1.6275381982132373,0.01194879720954375,1,take_profit
4,SentimentPulseStrategy,LONG,BEAR_TRENDING,341,346,2026-01-12 03:00:00,2026-01-12 08:00:00,3156.9638099999997,3115.9611640357193,3119.0802442799995,3235.887905249999,0.46677729081602504,139.9949300949476,-1.8182541520731978,0.2799898601898952,0.1399949300949476,-1.9582490821681455,-0.013988000000000132,5,stop_loss
5,MomentumStrategy,LONG,BEAR_TRENDING,346,346,2026-01-12 08:00:00,2026-01-12 08:00:00,3134.28115,3098.9069909758937,3102.0089999758698,3184.4822722597573,0.4630051514691945,138.8635974561109,-1.5672438891041813,0.2777271949122218,0.1388635974561109,-1.7061074865602923,-0.012286211201603956,0,stop_loss
6,MomentumStrategy,LONG,HIGH_VOL_CHOPPY,347,352,2026-01-12 09:00:00,2026-01-12 14:00:00,3115.1019899999997,3076.1947215534483,3079.2739955489974,3170.834425812669,0.6591520607970826,98.80956648667689,-1.2341202120269916,0.1976191329733538,0.0988095664866769,-1.3329297785136685,-0.013489885907893299,5,stop_loss
9,MeanReversionStrategy,LONG,MEAN_REVERTING,360,367,2026-01-12 22:00:00,2026-01-13 05:00:00,3092.61953,3121.3453786514997,3063.7262357577,3124.4698485,0.6482427051606707,323.87082971344626,3.008279662834602,0.6477416594268925,0.3238708297134463,2.6844088331211555,0.008288516861787958,7,take_profit
7,SentimentPulseStrategy,SHORT,HIGH_VOL_CHOPPY,347,375,2026-01-12 09:00:00,2026-01-13 13:00:00,3108.87801,3149.330730666119,3146.1845461199996,3031.1560597499997,0.8153793145921266,122.22866526371085,-1.590439392411372,0.24445733052742172,0.12222866526371086,-1.7126680576750828,-0.014011999999999724,28,stop_loss
10,MeanReversionStrategy,SHORT,MEAN_REVERTING,368,375,2026-01-13 06:00:00,2026-01-13 13:00:00,3125.29158,3153.118271148471,3149.968302845626,3104.4349575,0.6611381568627083,330.4023101841092,-2.941806485855813,0.6608046203682184,0.3304023101841092,-3.2722087960399224,-0.009903710401469526,7,stop_loss
8,MomentumStrategy,SHORT,MEAN_REVERTING,354,377,2026-01-12 16:00:00,2026-01-13 15:00:00,3124.3824900000004,3166.207952152754,3163.044907245509,3064.2409520625424,0.7994126025591366,399.39735659661847,-5.346649802227533,0.7987947131932369,0.39939735659661846,-5.746047158824151,-0.014386793162047684,23,stop_loss
11,MeanReversionStrategy,SHORT,HIGH_VOL_CHOPPY,378,380,2026-01-13 16:00:00,2026-01-13 18:00:00,3179.62719,3209.1519515964414,3205.9460055908507,3117.4699095000005,0.6638730416283953,99.4238592450072,-0.9232106677283047,0.1988477184900144,0.0994238592450072,-1.022634526973312,-0.010285604831062379,2,stop_loss
12,SentimentPulseStrategy,LONG,HIGH_VOL_CHOPPY,378,384,2026-01-13 16:00:00,2026-01-13 22:00:00,3185.9928099999997,3262.3769876197493,3147.7608962799995,3265.6426302499995,0.7543865235664546,112.9794626867605,2.708682617915069,0.225958925373521,0.1129794626867605,2.5957031552283083,0.022974999999999874,6,take_profit
13,MeanReversionStrategy,SHORT,HIGH_VOL_CHOPPY,381,384,2026-01-13 19:00:00,2026-01-13 22:00:00,3196.72008,3227.0763844988396,3223.852531966873,3131.2770885,0.6333207200219002,94.8385259826562,-0.9005940779621276,0.1896770519653124,0.0948385259826562,-0.9954326039447838,-0.010496078398844219,3,stop_loss
15,SentimentPulseStrategy,LONG,HIGH_VOL_CHOPPY,385,397,2026-01-13 23:00:00,2026-01-14 11:00:00,3332.4090799999994,3289.1277508689595,3292.4201710399993,3415.7193069999994,0.85,127.30622331417845,-1.6534532284045464,0.2546124466283569,0.12730622331417846,-1.7807594517187249,-0.013987999999999974,12,stop_loss
16,MomentumStrategy,LONG,MEAN_REVERTING,398,401,2026-01-14 12:00:00,2026-01-14 15:00:00,3287.7844999999998,3357.796876058183,3240.6157995121084,3361.158034092275,0.671582073806672,335.22089962247327,7.138427621071605,0.6704417992449465,0.33522089962247326,6.803206721449132,0.020294697404341203,3,take_profit
14,MeanReversionStrategy,SHORT,HIGH_VOL_CHOPPY,385,402,2026-01-13 23:00:00,2026-01-14 16:00:00,3325.75092,3368.042494571076,3364.677816754322,3159.6686685000004,0.765,114.5756009827606,-1.4569890197875324,0.22915120196552122,0.11457560098276061,-1.571564620770293,-0.013716398668567798,17,stop_loss
17,SentimentPulseStrategy,LONG,HIGH_VOL_CHOPPY,403,404,2026-01-14 17:00:00,2026-01-14 18:00:00,3373.5701999999997,3329.7542702423993,3333.0873575999995,3457.909454999999,0.84547290430572,126.67195543031808,-1.6452153571289831,0.2533439108606362,0.1266719554303181,-1.7718873125593013,-0.013988000000000096,1,stop_loss
18,MeanReversionStrategy,SHORT,HIGH_VOL_CHOPPY,406,410,2026-01-14 20:00:00,2026-01-15 00:00:00,3363.86277,3331.3936686029997,3404.7335989905164,3328.065603,0.5658368935648571,84.76078930560392,0.8181388036984184,0.16952157861120784,0.08476078930560392,0.7333780143928145,0.008652326392910636,4,take_profit
19,MomentumStrategy,LONG,MEAN_REVERTING,409,413,2026-01-14 23:00:00,2026-01-15 03:00:00,3353.38003,3290.9746989710534,3294.2689679389923,3445.3305709837896,0.6821411947382527,340.60949802227,-6.338633941135217,0.68121899604454,0.34060949802227,-6.679243439157487,-0.019609680522534284,4,stop_loss
20,MomentumStrategy,LONG,HIGH_VOL_CHOPPY,415,463,2026-01-15 05:00:00,2026-01-17 05:00:00,3308.16486,3287.2095,3251.476749028272,3396.3463659560207,0.6168332592512478,92.34488861260405,-0.5849528263948164,0.1846897772252081,0.09234488861260405,-0.6772977150074204,-0.0073344364282981744,48,time_exit
22,MeanReversionStrategy,LONG,MEAN_REVERTING,451,470,2026-01-16 17:00:00,2026-01-17 12:00:00,3281.7084299999997,3301.9106980859992,3252.429844938323,3305.2159139999994,0.6636196833513893,331.1639724410211,2.0386525781871714,0.6623279448820422,0.3311639724410211,1.7074886057461502,0.00515602163230557,19,take_profit
21,SentimentPulseStrategy,SHORT,BEAR_TRENDING,428,476,2026-01-15 18:00:00,2026-01-17 18:00:00,3297.4192799999996,3320.2469299999993,3336.98831136,3214.9837979999998,0.7434782829245571,222.60932980785753,-1.5410984882663383,0.44521865961571505,0.22260932980785753,-1.7637078180741959,-0.007922883643720227,48,time_exit
23,MomentumStrategy,LONG,BULL_TRENDING,471,496,2026-01-17 13:00:00,2026-01-18 14:00:00,3305.2018999999996,3336.1796638489177,3283.1407894794606,3339.5191830319495,0.7998765533421022,479.04119571804205,4.489778683370864,0.9580823914360841,0.47904119571804205,4.010737487652822,0.008372427097091446,25,take_profit
24,MeanReversionStrategy,SHORT,MEAN_REVERTING,474,496,2026-01-17 16:00:00,2026-01-18 14:00:00,3325.44123,3343.539426616037,3340.1992273886485,3293.255448000001,0.7323867060827879,365.5182810647235,-1.9892763876826238,0.731036562129447,0.3655182810647235,-2.3547946687473473,-0.006442344448239447,22,stop_loss
25,MeanReversionStrategy,SHORT,MEAN_REVERTING,501,505,2026-01-18 19:00:00,2026-01-18 23:00:00,3357.54909,3320.0366799599997,3373.0603500640677,3316.71996,0.7342723026998185,366.45538489593474,4.0942438341482115,0.7329107697918695,0.36645538489593477,3.7277884492522766,0.010172557432362159,4,take_profit
26,SentimentPulseStrategy,LONG,MEAN_REVERTING,501,505,2026-01-18 19:00:00,2026-01-18 23:00:00,3364.2709099999993,3320.57575942092,3323.8996590799998,3448.377682749999,0.6831225307507434,340.9279214494475,-4.427971843785363,0.6818558428988951,0.34092792144944756,-4.76889976523481,-0.013987999999999818,4,stop_loss
27,MomentumStrategy,LONG,BULL_TRENDING,503,505,2026-01-18 21:00:00,2026-01-18 23:00:00,3343.5301899999995,3315.793294067125,3319.1124064735986,3381.5134088188456,0.6403471889693708,383.49589067378884,-3.1813637101640615,0.7669917813475777,0.38349589067378886,-3.5648596008378504,-0.00929569178583509,2,stop_loss
28,MeanReversionStrategy,LONG,MEAN_REVERTING,506,506,2026-01-19 00:00:00,2026-01-19 00:00:00,3285.9826999999996,3261.6440643659453,3264.9089733392843,3329.8079815,0.728617400466964,363.465377085633,-2.6921174534733163,0.7269307541712661,0.36346537708563303,-3.0555828305589494,-0.008406805773522272,0,stop_loss
